GBPU,Region,PopnEst2018,Female_Popn_2018,Trend,PopIso,CalcRank,CalcSRank,Rank_Number,Overal_Threat,ResidentialCalc,Residential_1a,Residential_1a_subTFail,Residential_1b,Residential_1b_subTFail,AgricultureCalc,Agriculture_2.1,Agriculture_2.1_subTFail,Agriculture_2.3b,Agriculture_2.3b_subTFail,EnergyCalc,Energy_3.1,Energy_3.1_subTFail,Energy_3.2,Energy_3.2_subTFail,Energy_3.3,Energy_3.3_subTFail,Energy_3all,Energy_3all_subTFail,TransportationCalc,Transport_4.1,Transport_4.1_subTFail,BioUseCalc,BioUse_5.1a,BioUse_5.1a_subTFail,BioUse_5.1b,BioUse_5.1b_subTFail,BioUse_5.3,BioUse_5.3_subTFail,HumanIntrusionCalc,HumanIntrusion_6,HumanIntrusion_6_subTFail,ClimateChangeCalc,ClimateChange_11,ClimateChange_11_subTFail
Muskwa,Northeast,840,462,0,ED,M5,M5,5,Low,Negligible,0.0191,Negligible,0,Negligible,Negligible,0.0087,Negligible,4e-4,Negligible,Low,0,Negligible,1,Low,0,Negligible,1,Negligible,Negligible,0.0634,Negligible,Negligible,0.77,Negligible,0.3534,Negligible,5.1591,Negligible,Negligible,7.2665,Negligible,Negligible,0,Negligible
Nation,Omineca,170,94,0,CC,M3,M3,3,Medium,Negligible,0.1474,Negligible,0.2742,Negligible,Negligible,0.5686,Negligible,0.0356,Negligible,Low,0,Negligible,0,Negligible,1,Low,1,Negligible,Medium,1.8847,Medium,Low,0.67,Negligible,2.122,Low,10.8597,Negligible,Low,79.0733,Low,Negligible,20.2247,Negligible
North Cascades,South Coast,6,3,-1,AA,M1,M1,1,High,Low,0.4446,Low,1.9348,Low,Low,0.4918,Negligible,2.0266,Low,Low,0,Negligible,0,Negligible,3,Low,3,Low,Medium,1.3314,Medium,Low,0,Negligible,2.8142,Low,16.0789,Negligible,Low,97.1017,Low,Low,25.798000000000002,Low
North Coast,Skeena,190,105,0,DB,M3,M3,3,Medium,Low,0.7389,Low,2.8329,Low,Negligible,0.0377,Negligible,0,Negligible,Low,1,Low,0,Negligible,1,Low,2,Low,Negligible,0.4238,Negligible,Low,1.6099999999999999,Low,0.1582,Negligible,3.3993,Negligible,Low,22.3546,Low,Negligible,19.7391,Negligible
North Purcells,Kootenay-Boundary,332,183,0,DC,M3M4,M3,3.5,Medium,Low,0.173,Negligible,0.5586,Low,Negligible,0.5234,Negligible,0.0026,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Low,0.88,Low,Low,1.38,Low,1.3357999999999999,Negligible,15.464,Negligible,Low,79.4182,Low,Negligible,0,Negligible
North Selkirk,Kootenay-Boundary,265,146,0,DC,M3M4,M3,3.5,Medium,Low,0.2252,Negligible,1.6909,Low,Negligible,4e-4,Negligible,0,Negligible,Low,0,Negligible,0,Negligible,2,Low,2,Low,Low,0.6198,Low,Negligible,0.75,Negligible,0.5008,Negligible,9.1923,Negligible,Low,67.6008,Low,Negligible,0,Negligible
Nulki,Omineca,44,24,0,BC,M2M3,M2,2.5,High,Low,1.3558,Low,6.6138,Low,Low,8.8049,Low,1.1978,Low,Low,0,Negligible,0,Negligible,3,Low,3,Low,Medium,2.5322,Medium,High,3.77,High,6.0142,Low,15.852,Negligible,Low,97.7714,Low,Negligible,-7.8298,Negligible
Omineca,Omineca,402,221,0,DD,M5,M5,5,Low,Negligible,0.0353,Negligible,0.014,Negligible,Negligible,0.0115,Negligible,0.0806,Negligible,Low,0,Negligible,1,Low,0,Negligible,1,Negligible,Low,0.8221,Low,Negligible,1.2,Negligible,0.4391,Negligible,11.9384,Negligible,Low,27.9503,Low,Negligible,7.3922,Negligible
Parsnip,Omineca,455,250,0,ED,M5,M5,5,Low,Negligible,0.0555,Negligible,0.009,Negligible,Negligible,0.1386,Negligible,0.049,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Negligible,0.586,Negligible,Negligible,0.67,Negligible,0.9663,Negligible,4.0185,Negligible,Low,25.6527,Low,Negligible,9.5182,Negligible
Quesnel Lake North,Cariboo,187,103,0,DD,M3M4,M3,3.5,High,Negligible,0.1313,Negligible,0.1545,Negligible,Low,0.0891,Negligible,0.3183,Low,Low,0,Negligible,2,Low,0,Negligible,2,Low,Medium,1.3958,Medium,Low,1.7,Low,0.8809,Negligible,6.0052,Negligible,Low,58.0202,Low,Low,35.0169,Low
Robson,Omineca,534,294,0,EC,M3M4,M3,3.5,Medium,Negligible,0.1924,Negligible,0.2239,Negligible,Low,1.589,Low,0.1395,Negligible,Low,0,Negligible,1,Low,2,Low,3,Low,Low,1.0073,Low,Negligible,1.17,Negligible,1.3736,Negligible,7.2395,Negligible,Low,75.3527,Low,Negligible,16.1786,Negligible
Rockies Park Ranges,Kootenay-Boundary,116,64,0,CC,M2M3,M2,2.5,High,Low,0.84,Low,2.1819,Low,Low,2.0945,Low,0,Negligible,Low,0,Negligible,1,Low,1,Low,2,Low,Low,1.0064,Low,Medium,3.2,Medium,2.5779,Low,18.1326,Negligible,Low,89.7403,Low,Negligible,0,Negligible
Rocky,Northeast,538,296,0,EC,M3M4,M3,3.5,Medium,Negligible,0.1216,Negligible,0.1607,Negligible,Low,1.2223,Low,0.1753,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Low,0.6122,Low,Low,1.5899999999999999,Low,1.4117,Negligible,13.9519,Negligible,Low,37.7434,Low,Negligible,0,Negligible
South Chilcotin Ranges,Cariboo,222,122,0,DC,M3M4,M3,3.5,Medium,Negligible,0.0512,Negligible,0.2792,Negligible,Low,0.4651,Negligible,0.4512,Low,Low,0,Negligible,1,Low,0,Negligible,1,Negligible,Low,1.006,Low,Negligible,0.45,Negligible,1.0959,Negligible,13.1596,Negligible,Low,52.6889,Low,Low,33.2237,Low
South Rockies,Kootenay-Boundary,170,94,0,CB,M2,M2,2,High,Low,0.5182,Low,1.5157,Low,Low,2.6187,Low,0.2525,Low,Low,0,Negligible,3,Low,0,Negligible,3,Low,Medium,1.4884,Medium,High,19.76,High,10.6028,Low,20.567,Negligible,Low,93.4215,Low,Negligible,0,Negligible
South Selkirk,Kootenay-Boundary,58,32,0,BA,M2,M2,2,High,Medium,2.3392,Low,11.9332,Medium,Low,4.5605,Low,0.417,Low,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Medium,1.5344,Medium,Low,1,Negligible,5.9629,Low,28.9031,Negligible,Low,98.7421,Low,Negligible,0,Negligible
Spatsizi,Skeena,666,366,0,ED,M5,M5,5,Low,Negligible,0.0343,Negligible,0.0033,Negligible,Negligible,0.0015,Negligible,0.0032,Negligible,Low,0,Negligible,0,Negligible,1,Low,1,Negligible,Negligible,0.0344,Negligible,Negligible,0.62,Negligible,0.2678,Negligible,1.0411,Negligible,Negligible,9.4682,Negligible,Negligible,0,Negligible
Squamish-Lillooet,South Coast,46,25,0,BB,M2M3,M2,2.5,Medium,Low,0.2263,Negligible,2.9007,Low,Low,1.2596,Low,0.0117,Negligible,Low,1,Low,1,Low,2,Low,4,Low,Low,0.7579,Low,Negligible,0,Negligible,0.6096,Negligible,8.521,Negligible,Low,59.868,Low,Negligible,24.8341,Negligible
Stein-Nahatlatch,Thompson-Okanagan,22,12,-1,BA,M1,M1,1,Medium,Low,0.145,Negligible,0.6642,Low,Negligible,0.4593,Negligible,0,Negligible,Low,0,Negligible,0,Negligible,4,Low,4,Low,Low,0.7069,Low,Negligible,0.55,Negligible,0.5218,Negligible,8.097,Negligible,Low,74.8499,Low,Low,48.4406,Low
Stewart,Skeena,358,197,0,DD,M5,M5,5,Low,Negligible,0.1286,Negligible,0.1341,Negligible,Negligible,0,Negligible,0.0078,Negligible,Low,1,Low,1,Low,0,Negligible,2,Low,Negligible,0.2966,Negligible,Negligible,0.78,Negligible,0.0391,Negligible,1.8902999999999999,Negligible,Low,31.1,Low,Low,31.0105,Low
Taiga,Northeast,94,52,0,CC,M4,M4,4,Low,Negligible,0.0342,Negligible,0.0255,Negligible,Negligible,0.5042,Negligible,0.0795,Negligible,Low,1,Low,0,Negligible,0,Negligible,1,Negligible,Low,0.8729,Low,Negligible,0,Negligible,0.0844,Negligible,24.7449,Negligible,Low,24.1257,Low,Negligible,0,Negligible
Taku,Skeena,576,317,0,ED,M5,M5,5,Low,Negligible,0.0291,Negligible,0.0096,Negligible,Negligible,0.0073,Negligible,0.0024,Negligible,Low,0,Negligible,1,Low,0,Negligible,1,Negligible,Negligible,0.0284,Negligible,Negligible,0.67,Negligible,0.1227,Negligible,1.5118,Negligible,Negligible,6.9817,Negligible,Negligible,21.1315,Negligible
Tatshenshini,Skeena,407,224,0,DC,M4M5,M4,4.5,Negligible,Negligible,0.0026,Negligible,0,Negligible,Negligible,0,Negligible,0,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Negligible,0.0342,Negligible,Negligible,0.71,Negligible,0.132,Negligible,0.5483,Negligible,Negligible,5.4104,Negligible,Negligible,0.0157,Negligible
Toba-Bute,South Coast,130,72,0,CC,M4,M4,4,Low,Negligible,0.0103,Negligible,0.0823,Negligible,Negligible,0,Negligible,0.0221,Negligible,Low,0,Negligible,0,Negligible,1,Low,1,Negligible,Negligible,0.4324,Negligible,Negligible,0,Negligible,0.1696,Negligible,5.5546,Negligible,Negligible,0,Negligible,Low,59.8615,Low
Tweedsmuir,West Coast,368,202,0,DD,M5,M5,5,Negligible,Negligible,0.0301,Negligible,0.125,Negligible,Negligible,0.045,Negligible,0.1388,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Negligible,0.2284,Negligible,Negligible,1.02,Negligible,0.1383,Negligible,9.2121,Negligible,Negligible,12.336,Negligible,Negligible,22.3749,Negligible
Upper Skeena-Nass,Skeena,755,415,0,ED,M5,M5,5,Negligible,Negligible,0.0333,Negligible,0,Negligible,Negligible,0.0737,Negligible,0.0068,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Negligible,0.0939,Negligible,Negligible,0.35,Negligible,0.1166,Negligible,2.5444,Negligible,Negligible,5.345,Negligible,Negligible,-0.4734,Negligible
Valhalla,Kootenay-Boundary,88,48,0,BB,M2,M2,2,High,Low,0.8067,Low,2.6965,Low,Low,2.6131,Low,0.1179,Negligible,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Medium,1.2126000000000001,Medium,Low,0.11,Negligible,3.69,Low,14.7226,Negligible,Low,98.9144,Low,Negligible,0,Negligible
Wells Gray,Thompson-Okanagan,345,190,0,DC,M4M5,M4,4.5,Low,Negligible,0.2144,Negligible,0.362,Negligible,Low,0.6481,Negligible,0.2718,Low,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Low,1.126,Low,Negligible,0.42,Negligible,1.5843,Negligible,12.7347,Negligible,Low,58.1172,Low,Negligible,9.877,Negligible
Yahk,Kootenay-Boundary,20,11,0,BA,M2,M2,2,VHigh,Medium,1.4952,Low,11.0521,Medium,Low,3.1949,Low,0.6581,Low,Negligible,0,Negligible,0,Negligible,0,Negligible,0,Negligible,Medium,2.8979,Medium,High,7.6,High,14.0159,Low,38.9822,Low,Low,99.8564,Low,Negligible,0,Negligible
